,Ticker,2023-12-31,2023-11-30,2023-10-31,2023-09-30,2023-08-31,2023-07-31,2023-06-30,2023-05-31,2023-04-30,2023-03-31,2023-02-28,2023-01-31,2022-12-31,2022-11-30,2022-10-31,2022-09-30,2022-08-31,2022-07-31,2022-06-30,2022-05-31,2022-04-30,2022-03-31,2022-02-28,2022-01-31,2021-12-31,2021-11-30,2021-10-31,2021-09-30,2021-08-31,2021-07-31,2021-06-30,2021-05-31,2021-04-30,2021-03-31,2021-02-28,2021-01-31,2020-12-31,2020-11-30,2020-10-31,2020-09-30,2020-08-31,2020-07-31,2020-06-30,2020-05-31,2020-04-30,2020-03-31,2020-02-29
81,REGN,3667600000.0,,,,,,,,,,,,3398000000.0,,,,,,,,,,,,6529400000.0,,,,,,,,,,,,2003500000.0,,,,,,,,,,
82,ROST,,,,,,,,,,,,1035303000.0,,,,,,,,,,,,1181009000.0,,,,,,,,,,,,1840500000.0,,,,,,,,,,,
83,STX,,,,,,,626000000.0,,,,,,,,,,,,1276000000.0,,,,,,,,,,,,1128000000.0,,,,,,,,,,,,1129000000.0,,,,
84,SWKS,,,,1620300000.0,,,,,,,,,,,,914900000.0,,,,,,,,,,,,1119900000.0,,,,,,,,,,,,806000000.0,,,,,,,
85,SBUX,,,,3675100000.0,,,,,,,,,,,,2556000000.0,,,,,,,,,,,,4519100000.0,,,,,,,,,,,,114200000.0,,,,,,,
86,TMUS,7748000000.0,,,,,,,,,,,,-520000000.0,,,,,,,,,,,,-7775000000.0,,,,,,,,,,,,-3727000000.0,,,,,,,,,,
87,TSLA,4357000000.0,,,,,,,,,,,,7552000000.0,,,,,,,,,,,,3483000000.0,,,,,,,,,,,,2701000000.0,,,,,,,,,,
88,TXN,1349000000.0,,,,,,,,,,,,5923000000.0,,,,,,,,,,,,6294000000.0,,,,,,,,,,,,5490000000.0,,,,,,,,,,
89,TSCO,,,,,,,,,,,,,583610000.0,,,,,,,,,,,,510289000.0,,,,,,,,,,,,1100513000.0,,,,,,,,,,
90,ULTA,,,,,,,,,,,,1169789000.0,,,,,,,,,,,,887078000.0,,,,,,,,,,,,658489000.0,,,,,,,,,,,
91,VRSK,,,,,,,,,,,,,784300000.0,,,,,,,,,,,,887300000.0,,,,,,,,,,,,821400000.0,,,,,,,,,,
92,VRTX,,,,,,,,,,,,,3925200000.0,,,,,,,,,,,,2408500000.0,,,,,,,,,,,,2993700000.0,,,,,,,,,,
93,WDC,,,,,,,-1229000000.0,,,,,,,,,,,,758000000.0,,,,,,,,,,,,752000000.0,,,,,,,,,,,,177000000.0,,,,
94,ABT,,,,,,,,,,,,,7804000000.0,,,,,,,,,,,,8648000000.0,,,,,,,,,,,,5724000000.0,,,,,,,,,,
95,ABBV,,,,,,,,,,,,,24248000000.0,,,,,,,,,,,,21990000000.0,,,,,,,,,,,,16790000000.0,,,,,,,,,,
96,ACN,,,,,8996096000.0,,,,,,,,,,,,8823131000.0,,,,,,,,,,,,8395016000.0,,,,,,,,,,,,7616020000.0,,,,,,
97,ALL,,,,,,,,,,,,,4701000000.0,,,,,,,,,,,,4771000000.0,,,,,,,,,,,,5183000000.0,,,,,,,,,,
98,MO,,,,,,,,,,,,,8051000000.0,,,,,,,,,,,,8236000000.0,,,,,,,,,,,,8154000000.0,,,,,,,,,,
99,AIG,,,,,,,,,,,,,4207000000.0,,,,,,,,,,,,6279000000.0,,,,,,,,,,,,1038000000.0,,,,,,,,,,
100,T,,,,,,,,,,,,,12397000000.0,,,,,,,,,,,,26413000000.0,,,,,,,,,,,,27455000000.0,,,,,,,,,,
101,BAC,,,,,,,,,,,,,-6327000000.0,,,,,,,,,,,,-7193000000.0,,,,,,,,,,,,37993000000.0,,,,,,,,,,
102,BK,,,,,,,,,,,,,13722000000.0,,,,,,,,,,,,1623000000.0,,,,,,,,,,,,3816000000.0,,,,,,,,,,
103,BRK-B,,,,,,,,,,,,,21760000000.0,,,,,,,,,,,,26145000000.0,,,,,,,,,,,,26761000000.0,,,,,,,,,,
104,BLK,,,,,,,,,,,,,4423000000.0,,,,,,,,,,,,4603000000.0,,,,,,,,,,,,3549000000.0,,,,,,,,,,
105,BKNG,,,,,,,,,,,,,6186000000.0,,,,,,,,,,,,2516000000.0,,,,,,,,,,,,-201000000.0,,,,,,,,,,
106,BMY,,,,,,,,,,,,,11948000000.0,,,,,,,,,,,,15234000000.0,,,,,,,,,,,,13299000000.0,,,,,,,,,,
107,BMYMP,,,,,,,,,,,,,11948000000.0,,,,,,,,,,,,15234000000.0,,,,,,,,,,,,13299000000.0,,,,,,,,,,
108,COF,,,,,,,,,,,,,12875000000.0,,,,,,,,,,,,11612000000.0,,,,,,,,,,,,15989000000.0,,,,,,,,,,
109,C,,,,,,,,,,,,,19437000000.0,,,,,,,,,,,,42971000000.0,,,,,,,,,,,,-26934000000.0,,,,,,,,,,
110,CL,,,,,,,,,,,,,1860000000.0,,,,,,,,,,,,2758000000.0,,,,,,,,,,,,3309000000.0,,,,,,,,,,
111,COP,,,,,,,,,,,,,18155000000.0,,,,,,,,,,,,11672000000.0,,,,,,,,,,,,87000000.0,,,,,,,,,,
112,CVS,10395000000.0,,,,,,,,,,,,13450000000.0,,,,,,,,,,,,15745000000.0,,,,,,,,,,,,13428000000.0,,,,,,,,,,
113,DHR,,,,,,,,,,,,,7367000000.0,,,,,,,,,,,,7064000000.0,,,,,,,,,,,,5417000000.0,,,,,,,,,,
114,DUK,,,,,,,,,,,,,-5440000000.0,,,,,,,,,,,,-1425000000.0,,,,,,,,,,,,-1051000000.0,,,,,,,,,,
115,LLY,,,,,,,,,,,,,4600400000.0,,,,,,,,,,,,5387500000.0,,,,,,,,,,,,4470500000.0,,,,,,,,,,
116,EMR,,,,274000000.0,,,,,,,,,,,,2623000000.0,,,,,,,,,,,,3171000000.0,,,,,,,,,,,,2545000000.0,,,,,,,
117,EXC,,,,,,,,,,,,,-2277000000.0,,,,,,,,,,,,-4969000000.0,,,,,,,,,,,,-3813000000.0,,,,,,,,,,
118,FDX,,,,,,,,2674000000.0,,,,,,,,,,,,3069000000.0,,,,,,,,,,,,4251000000.0,,,,,,,,,,,,-771000000.0,,,
119,F,6682000000.0,,,,,,,,,,,,-13000000.0,,,,,,,,,,,,9560000000.0,,,,,,,,,,,,18527000000.0,,,,,,,,,,
120,GE,3584000000.0,,,,,,,,,,,,4742000000.0,,,,,,,,,,,,2368000000.0,,,,,,,,,,,,1838000000.0,,,,,,,,,,
121,GM,-3680000000.0,,,,,,,,,,,,-5144000000.0,,,,,,,,,,,,-6923000000.0,,,,,,,,,,,,-3863000000.0,,,,,,,,,,
122,HON,,,,,,,,,,,,,4508000000.0,,,,,,,,,,,,5143000000.0,,,,,,,,,,,,5302000000.0,,,,,,,,,,
123,KMI,,,,,,,,,,,,,3346000000.0,,,,,,,,,,,,4427000000.0,,,,,,,,,,,,2843000000.0,,,,,,,,,,
124,LOW,,,,,,,,,,,,6760000000.0,,,,,,,,,,,,8260000000.0,,,,,,,,,,,,9258000000.0,,,,,,,,,,,
125,MA,,,,,,,,,,,,,10098000000.0,,,,,,,,,,,,8649000000.0,,,,,,,,,,,,6516000000.0,,,,,,,,,,
126,MDT,,,,,,,,,4580000000.0,,,,,,,,,,,,5978000000.0,,,,,,,,,,,,4885000000.0,,,,,,,,,,,,6021000000.0,,
127,MET,,,,,,,,,,,,,13204000000.0,,,,,,,,,,,,12596000000.0,,,,,,,,,,,,11639000000.0,,,,,,,,,,
128,MS,,,,,,,,,,,,,-9475000000.0,,,,,,,,,,,,31663000000.0,,,,,,,,,,,,-26675000000.0,,,,,,,,,,
129,NEE,,,,,,,,,,,,,-1480000000.0,,,,,,,,,,,,-277000000.0,,,,,,,,,,,,224000000.0,,,,,,,,,,
130,OXY,,,,,,,,,,,,,12460000000.0,,,,,,,,,,,,7661000000.0,,,,,,,,,,,,901000000.0,,,,,,,,,,
131,ORCL,,,,,,,,8470000000.0,,,,,,,,,,,,5028000000.0,,,,,,,,,,,,13752000000.0,,,,,,,,,,,,11575000000.0,,,
132,OCLCF,,,,,,,,66967000000.0,,,,,,,,,,,,52696000000.0,,,,,,,,,,,,65050000000.0,,,,,,,,,,,,41601000000.0,,,
133,PM,7883000000.0,,,,,,,,,,,,9726000000.0,,,,,,,,,,,,11219000000.0,,,,,,,,,,,,9210000000.0,,,,,,,,,,
134,RTX,4717000000.0,,,,,,,,,,,,4393000000.0,,,,,,,,,,,,4629000000.0,,,,,,,,,,,,1639000000.0,,,,,,,,,,
135,SLB,4545000000.0,,,,,,,,,,,,2005000000.0,,,,,,,,,,,,3471000000.0,,,,,,,,,,,,1727000000.0,,,,,,,,,,
136,SPG,,,,,,,,,,,,,3116580000.0,,,,,,,,,,,,3109467000.0,,,,,,,,,,,,1842579000.0,,,,,,,,,,
137,SO,,,,,,,,,,,,,-1621000000.0,,,,,,,,,,,,-1417000000.0,,,,,,,,,,,,-745000000.0,,,,,,,,,,
138,TGT,,,,,,,,,,,,-1510000000.0,,,,,,,,,,,,5081000000.0,,,,,,,,,,,,7876000000.0,,,,,,,,,,,
139,UNP,,,,,,,,,,,,,5742000000.0,,,,,,,,,,,,6096000000.0,,,,,,,,,,,,5613000000.0,,,,,,,,,,
140,UPS,,,,,,,,,,,,,9335000000.0,,,,,,,,,,,,10813000000.0,,,,,,,,,,,,5047000000.0,,,,,,,,,,
141,USB,,,,,,,,,,,,,21119000000.0,,,,,,,,,,,,9870000000.0,,,,,,,,,,,,3716000000.0,,,,,,,,,,
142,WFC,,,,,,,,,,,,,27048000000.0,,,,,,,,,,,,-11525000000.0,,,,,,,,,,,,2051000000.0,,,,,,,,,,
143,ABMD,,,,,,,,,,,,,,,,,,,,,,249627000.0,,,,,,,,,,,,221195000.0,,,,,,,,,,,,270914000.0,
144,AAP,,,,,,,,,,,,,296261000.0,,,,,,,,,,,,822623000.0,,,,,,,,,,,,701882000.0,,,,,,,,,,
145,AMD,1121000000.0,,,,,,,,,,,,3115000000.0,,,,,,,,,,,,3220000000.0,,,,,,,,,,,,777000000.0,,,,,,,,,,
146,AES,,,,,,,,,,,,,-1836000000.0,,,,,,,,,,,,-214000000.0,,,,,,,,,,,,855000000.0,,,,,,,,,,
147,AFL,,,,,,,,,,,,,3879000000.0,,,,,,,,,,,,5051000000.0,,,,,,,,,,,,5958000000.0,,,,,,,,,,
148,A,,,1474000000.0,,,,,,,,,,,,1021000000.0,,,,,,,,,,,,1297000000.0,,,,,,,,,,,,802000000.0,,,,,,,,
149,APD,,,,-1420100000.0,,,,,,,,,,,,303700000.0,,,,,,,,,,,,877700000.0,,,,,,,,,,,,755700000.0,,,,,,,
150,ALK,,,,,,,,,,,,,-253000000.0,,,,,,,,,,,,738000000.0,,,,,,,,,,,,-456000000.0,,,,,,,,,,
151,ALB,,,,,,,,,,,,,646203000.0,,,,,,,,,,,,-609410000.0,,,,,,,,,,,,-51563000.0,,,,,,,,,,
152,ARE,1630550000.0,,,,,,,,,,,,1294321000.0,,,,,,,,,,,,1010197000.0,,,,,,,,,,,,882510000.0,,,,,,,,,,
